"YEAR","START_DATE","END_DATE","AGE_GROUP","FINES","ARRESTS","CHARGES"
2023,"2023-04-01","2023-04-30","65 and over",0,0,1
2023,"2023-04-01","2023-04-30","65 and over",1,0,0
2023,"2023-04-01","2023-04-30","65 and over",1,0,0
2023,"2023-04-01","2023-04-30","65 and over",2,0,0
2023,"2023-04-01","2023-04-30","65 and over",4,0,0
2023,"2023-04-01","2023-04-30","65 and over",5,0,0
2023,"2023-04-01","2023-04-30","65 and over",7,0,0
2023,"2023-04-01","2023-04-30","65 and over",12,0,0
2023,"2023-04-01","2023-04-30","65 and over",25,0,0
2023,"2023-04-01","2023-04-30","65 and over",31,0,0
2023,"2023-04-01","2023-04-30","65 and over",60,0,0
2023,"2023-05-01","2023-05-31","0-16",0,0,0
2023,"2023-05-01","2023-05-31","0-16",0,0,1
2023,"2023-05-01","2023-05-31","0-16",2,0,0
2023,"2023-05-01","2023-05-31","0-16",3,0,0
2023,"2023-05-01","2023-05-31","17-25",1,0,0
2023,"2023-05-01","2023-05-31","17-25",2,0,0
2023,"2023-05-01","2023-05-31","17-25",3,0,0
2023,"2023-05-01","2023-05-31","17-25",4,0,0
2023,"2023-05-01","2023-05-31","17-25",5,0,0
2023,"2023-05-01","2023-05-31","17-25",10,0,0
2023,"2023-05-01","2023-05-31","17-25",29,0,1
2023,"2023-05-01","2023-05-31","17-25",30,0,0
2023,"2023-05-01","2023-05-31","17-25",36,0,0
2023,"2023-05-01","2023-05-31","17-25",69,0,0
2023,"2023-05-01","2023-05-31","17-25",105,0,0
2023,"2023-05-01","2023-05-31","17-25",252,0,0
2023,"2023-05-01","2023-05-31","17-25",330,0,6
2023,"2023-05-01","2023-05-31","26-39",1,0,0
2023,"2023-05-01","2023-05-31","26-39",1,0,0
2023,"2023-05-01","2023-05-31","26-39",2,0,0
2023,"2023-05-01","2023-05-31","26-39",9,0,0
2023,"2023-05-01","2023-05-31","26-39",10,0,0
2023,"2023-05-01","2023-05-31","26-39",13,0,0
2023,"2023-05-01","2023-05-31","26-39",21,0,0
2023,"2023-05-01","2023-05-31","26-39",47,0,2
2023,"2023-05-01","2023-05-31","26-39",68,0,1
2023,"2023-05-01","2023-05-31","26-39",93,0,0
2023,"2023-05-01","2023-05-31","26-39",171,0,0
2023,"2023-05-01","2023-05-31","26-39",194,0,0
2023,"2023-05-01","2023-05-31","26-39",356,0,3
2023,"2023-05-01","2023-05-31","26-39",518,0,0
2023,"2023-05-01","2023-05-31","40-64",3,0,0
2023,"2023-05-01","2023-05-31","40-64",8,0,0
2023,"2023-05-01","2023-05-31","40-64",9,0,0
2023,"2023-05-01","2023-05-31","40-64",10,0,0
2023,"2023-05-01","2023-05-31","40-64",35,0,2
2023,"2023-05-01","2023-05-31","40-64",42,0,0
2023,"2023-05-01","2023-05-31","40-64",62,0,0
2023,"2023-05-01","2023-05-31","40-64",121,0,0
2023,"2023-05-01","2023-05-31","40-64",187,0,0
2023,"2023-05-01","2023-05-31","40-64",267,0,2
2023,"2023-05-01","2023-05-31","40-64",405,0,0
2023,"2023-05-01","2023-05-31","65 and over",1,0,0
2023,"2023-05-01","2023-05-31","65 and over",1,0,0
2023,"2023-05-01","2023-05-31","65 and over",1,0,1
2023,"2023-05-01","2023-05-31","65 and over",6,0,0
2023,"2023-05-01","2023-05-31","65 and over",8,0,0
2023,"2023-05-01","2023-05-31","65 and over",12,0,0
2023,"2023-05-01","2023-05-31","65 and over",17,0,0
2023,"2023-05-01","2023-05-31","65 and over",20,0,0
2023,"2023-05-01","2023-05-31","65 and over",40,0,0
2023,"2023-05-01","2023-05-31","65 and over",42,0,0
2023,"2023-06-01","2023-06-30","0-16",2,0,0
2023,"2023-06-01","2023-06-30","17-25",1,0,1
2023,"2023-06-01","2023-06-30","17-25",2,0,0
2023,"2023-06-01","2023-06-30","17-25",3,0,0
2023,"2023-06-01","2023-06-30","17-25",5,0,0
2023,"2023-06-01","2023-06-30","17-25",5,0,0
2023,"2023-06-01","2023-06-30","17-25",6,0,0
2023,"2023-06-01","2023-06-30","17-25",24,0,0
2023,"2023-06-01","2023-06-30","17-25",29,0,1
2023,"2023-06-01","2023-06-30","17-25",48,0,1
2023,"2023-06-01","2023-06-30","17-25",63,0,0
2023,"2023-06-01","2023-06-30","17-25",102,0,0
2023,"2023-06-01","2023-06-30","17-25",196,0,0
2023,"2023-06-01","2023-06-30","17-25",338,0,1
2023,"2023-06-01","2023-06-30","26-39",2,0,0
2023,"2023-06-01","2023-06-30","26-39",2,0,0
2023,"2023-06-01","2023-06-30","26-39",6,0,0
2023,"2023-06-01","2023-06-30","26-39",6,0,0
2023,"2023-06-01","2023-06-30","26-39",9,0,0
2023,"2023-06-01","2023-06-30","26-39",13,0,0
2023,"2023-06-01","2023-06-30","26-39",54,0,0
2023,"2023-06-01","2023-06-30","26-39",61,0,0
2023,"2023-06-01","2023-06-30","26-39",71,0,0
2023,"2023-06-01","2023-06-30","26-39",124,0,0
2023,"2023-06-01","2023-06-30","26-39",182,0,0
2023,"2023-06-01","2023-06-30","26-39",401,0,7
2023,"2023-06-01","2023-06-30","26-39",465,0,0
2023,"2023-06-01","2023-06-30","40-64",1,0,0
2023,"2023-06-01","2023-06-30","40-64",6,0,0
2023,"2023-06-01","2023-06-30","40-64",6,0,0
2023,"2023-06-01","2023-06-30","40-64",7,0,0
2023,"2023-06-01","2023-06-30","40-64",11,0,0
2023,"2023-06-01","2023-06-30","40-64",12,0,0
2023,"2023-06-01","2023-06-30","40-64",37,0,0
2023,"2023-06-01","2023-06-30","40-64",44,0,0
2023,"2023-06-01","2023-06-30","40-64",60,0,0
2023,"2023-06-01","2023-06-30","40-64",103,0,0
2023,"2023-06-01","2023-06-30","40-64",131,0,0
2023,"2023-06-01","2023-06-30","40-64",333,0,4
2023,"2023-06-01","2023-06-30","40-64",381,0,0
2023,"2023-06-01","2023-06-30","65 and over",0,1,1
2023,"2023-06-01","2023-06-30","65 and over",1,0,0
2023,"2023-06-01","2023-06-30","65 and over",2,0,0
2023,"2023-06-01","2023-06-30","65 and over",4,0,0
2023,"2023-06-01","2023-06-30","65 and over",6,0,0
2023,"2023-06-01","2023-06-30","65 and over",13,0,0
2023,"2023-06-01","2023-06-30","65 and over",20,0,0
2023,"2023-06-01","2023-06-30","65 and over",24,0,0
2023,"2023-06-01","2023-06-30","65 and over",37,0,0
2023,"2023-07-01","2023-07-31","0-16",0,0,0
2023,"2023-07-01","2023-07-31","0-16",1,0,0
2023,"2023-07-01","2023-07-31","17-25",0,0,1
2023,"2023-07-01","2023-07-31","17-25",1,1,1
2023,"2023-07-01","2023-07-31","17-25",4,0,0
2023,"2023-07-01","2023-07-31","17-25",5,0,0
2023,"2023-07-01","2023-07-31","17-25",7,0,0
2023,"2023-07-01","2023-07-31","17-25",10,0,0
2023,"2023-07-01","2023-07-31","17-25",28,0,0
2023,"2023-07-01","2023-07-31","17-25",30,0,0
2023,"2023-07-01","2023-07-31","17-25",38,0,1
2023,"2023-07-01","2023-07-31","17-25",60,0,0
2023,"2023-07-01","2023-07-31","17-25",109,0,0
2023,"2023-07-01","2023-07-31","17-25",216,0,0
2023,"2023-07-01","2023-07-31","17-25",253,0,3
2023,"2023-07-01","2023-07-31","26-39",8,0,0
2023,"2023-07-01","2023-07-31","26-39",8,0,0
2023,"2023-07-01","2023-07-31","26-39",9,0,0
2023,"2023-07-01","2023-07-31","26-39",9,0,0
2023,"2023-07-01","2023-07-31","26-39",10,0,0
2023,"2023-07-01","2023-07-31","26-39",41,0,0
2023,"2023-07-01","2023-07-31","26-39",51,0,1
2023,"2023-07-01","2023-07-31","26-39",59,0,0
