"YEAR","AGE_GROUP","FINES","ARRESTS","CHARGES"
2023,"17-25",82,20,49
2023,"17-25",83,0,0
2023,"17-25",84,0,0
2023,"17-25",84,0,2
2023,"17-25",85,0,0
2023,"17-25",85,0,2
2023,"17-25",85,0,3
2023,"17-25",85,30,50
2023,"17-25",86,0,0
2023,"17-25",88,0,0
2023,"17-25",88,0,413
2023,"17-25",88,21,53
2023,"17-25",89,0,0
2023,"17-25",89,21,52
2023,"17-25",90,0,0
2023,"17-25",92,0,3
2023,"17-25",92,0,4
2023,"17-25",92,19,61
2023,"17-25",93,0,464
2023,"17-25",95,0,527
2023,"17-25",97,0,0
2023,"17-25",97,0,482
2023,"17-25",97,0,520
2023,"17-25",98,0,3
2023,"17-25",98,5,12
2023,"17-25",99,0,0
2023,"17-25",100,0,0
2023,"17-25",100,21,66
2023,"17-25",101,0,0
2023,"17-25",101,18,48
2023,"17-25",102,0,0
2023,"17-25",103,0,0
2023,"17-25",104,0,0
2023,"17-25",104,0,425
2023,"17-25",105,0,0
2023,"17-25",105,12,71
2023,"17-25",105,14,49
2023,"17-25",106,0,0
2023,"17-25",107,0,0
2023,"17-25",108,0,0
2023,"17-25",109,0,0
2023,"17-25",110,0,0
2023,"17-25",112,0,0
2023,"17-25",112,0,567
2023,"17-25",113,0,3
2023,"17-25",114,0,0
2023,"17-25",116,0,398
2023,"17-25",117,0,0
2023,"17-25",118,0,0
2023,"17-25",122,0,0
2023,"17-25",124,0,0
2023,"17-25",124,0,572
2023,"17-25",127,0,0
2023,"17-25",127,0,1
2023,"17-25",128,0,0
2023,"17-25",129,0,0
2023,"17-25",131,0,0
2023,"17-25",132,0,0
2023,"17-25",135,0,0
2023,"17-25",136,0,0
2023,"17-25",137,0,3
2023,"17-25",137,0,4
2023,"17-25",140,0,0
2023,"17-25",141,0,0
2023,"17-25",142,0,0
2023,"17-25",143,0,0
2023,"17-25",143,0,4
2023,"17-25",148,0,9
2023,"17-25",150,0,0
2023,"17-25",152,0,0
2023,"17-25",153,0,0
2023,"17-25",155,0,4
2023,"17-25",157,0,0
2023,"17-25",159,0,0
2023,"17-25",161,0,0
2023,"17-25",175,0,0
2023,"17-25",176,0,0
2023,"17-25",177,0,0
2023,"17-25",178,0,0
2023,"17-25",180,0,0
2023,"17-25",184,0,0
2023,"17-25",186,0,0
2023,"17-25",188,0,0
2023,"17-25",194,0,0
2023,"17-25",196,0,0
2023,"17-25",200,0,0
2023,"17-25",204,0,0
2023,"17-25",205,0,0
2023,"17-25",207,0,0
2023,"17-25",213,0,0
2023,"17-25",216,0,0
2023,"17-25",218,0,0
2023,"17-25",220,0,0
2023,"17-25",222,0,0
2023,"17-25",223,0,0
2023,"17-25",224,0,0
2023,"17-25",228,0,0
2023,"17-25",229,0,0
2023,"17-25",232,0,0
2023,"17-25",237,0,5
2023,"17-25",243,0,0
2023,"17-25",246,0,0
2023,"17-25",248,0,0
2023,"17-25",250,0,0
2023,"17-25",251,0,0
2023,"17-25",252,0,0
2023,"17-25",253,0,3
2023,"17-25",256,0,0
2023,"17-25",257,0,5
2023,"17-25",259,0,0
2023,"17-25",260,0,0
2023,"17-25",261,0,0
2023,"17-25",264,0,0
2023,"17-25",264,0,1
2023,"17-25",265,0,5
2023,"17-25",266,0,0
2023,"17-25",270,0,5
2023,"17-25",272,0,0
2023,"17-25",278,0,3
2023,"17-25",279,0,0
2023,"17-25",283,0,3
2023,"17-25",291,0,0
2023,"17-25",294,0,0
2023,"17-25",294,0,11
2023,"17-25",295,0,8
2023,"17-25",297,0,3
2023,"17-25",298,0,0
2023,"17-25",298,0,2
2023,"17-25",301,0,15
2023,"17-25",306,0,1
2023,"17-25",307,0,0
2023,"17-25",309,0,0
2023,"17-25",311,0,0
2023,"17-25",312,0,4
2023,"17-25",313,0,3
2023,"17-25",314,0,1
2023,"17-25",316,0,7
2023,"17-25",319,0,0
2023,"17-25",319,0,9
2023,"17-25",320,0,0
2023,"17-25",321,0,3
2023,"17-25",322,0,10
2023,"17-25",324,0,9
2023,"17-25",327,0,0
2023,"17-25",329,0,0
2023,"17-25",330,0,6
2023,"17-25",335,0,2
2023,"17-25",338,0,1
2023,"17-25",340,0,0
2023,"17-25",340,0,9
2023,"17-25",348,0,2
2023,"17-25",370,0,0
2023,"17-25",370,0,0
2023,"17-25",371,0,0
2023,"17-25",381,0,2
2023,"17-25",384,0,6
2023,"17-25",389,0,0
2023,"17-25",394,0,0
2023,"17-25",394,0,4
2023,"17-25",399,0,0
2023,"17-25",407,0,0
2023,"17-25",411,0,0
2023,"17-25",411,0,0
2023,"17-25",422,0,4
2023,"17-25",425,0,0
2023,"17-25",427,0,0
2023,"17-25",429,0,0
2023,"17-25",447,0,6
2023,"17-25",452,0,0
2023,"17-25",456,0,0
2023,"17-25",462,0,0
2023,"17-25",462,0,4
2023,"17-25",466,0,0
2023,"17-25",471,0,0
2023,"17-25",473,0,0
2023,"17-25",474,0,0
2023,"17-25",476,0,0
2023,"17-25",480,0,0
2023,"17-25",482,0,0
2023,"17-25",483,0,0
2023,"17-25",487,0,0
2023,"17-25",488,0,0
2023,"17-25",488,0,0
2023,"17-25",491,0,0
2023,"17-25",491,0,0
2023,"17-25",493,0,0
2023,"17-25",496,0,0
2023,"17-25",497,0,0
2023,"17-25",506,0,0
2023,"17-25",508,0,0
2023,"17-25",509,0,0
2023,"17-25",510,0,0
2023,"17-25",523,0,0
2023,"17-25",524,0,0
2023,"17-25",529,0,0
2023,"17-25",538,0,0
2023,"17-25",559,0,0
2023,"17-25",562,0,0
2023,"17-25",571,0,0
2023,"17-25",575,0,0
2023,"17-25",577,0,0
2023,"17-25",582,0,0
2023,"17-25",584,0,0
2023,"17-25",592,0,0
2023,"17-25",599,0,0
2023,"17-25",601,0,7
2023,"17-25",607,0,0
2023,"17-25",609,3,3
2023,"17-25",611,0,0
2023,"17-25",625,0,0
2023,"17-25",635,0,0
2023,"17-25",636,0,0
2023,"17-25",669,0,0
2023,"17-25",674,0,0
2023,"17-25",676,0,0
2023,"17-25",678,0,0
2023,"17-25",694,0,0
2023,"17-25",695,0,0
2023,"17-25",696,1,8
2023,"17-25",706,0,0
2023,"17-25",709,5,5
2023,"17-25",710,6,3
2023,"17-25",712,0,0
2023,"17-25",713,0,0
2023,"17-25",719,0,0
2023,"17-25",719,2,7
2023,"17-25",719,2,9
2023,"17-25",729,3,7
2023,"17-25",731,0,0
2023,"17-25",748,0,0
2023,"17-25",755,1,8
2023,"17-25",759,0,4
2023,"17-25",762,0,0
2023,"17-25",765,0,0
2023,"17-25",766,1,4
2023,"17-25",770,0,0
2023,"17-25",771,3,4
2023,"17-25",787,0,0
2023,"17-25",799,0,0
2023,"17-25",799,0,0
2023,"17-25",801,0,0
2023,"17-25",802,0,0
2023,"17-25",818,0,0
2023,"17-25",820,0,0
2023,"17-25",839,0,0
2023,"17-25",842,0,0
2023,"17-25",847,0,0
2023,"17-25",848,0,0
2023,"17-25",853,0,0
2023,"17-25",860,0,0
2023,"17-25",866,0,0
2023,"17-25",871,0,0
2023,"17-25",871,0,0
2023,"17-25",873,0,0
2023,"17-25",875,0,0
2023,"17-25",882,0,0
2023,"17-25",885,0,0
2023,"17-25",886,0,0
2023,"17-25",893,0,0
2023,"17-25",903,0,0
2023,"17-25",910,0,0
2023,"17-25",915,0,0
2023,"17-25",916,0,0
2023,"17-25",932,0,0
2023,"17-25",940,0,0
2023,"17-25",946,0,0
2023,"17-25",947,0,0
2023,"17-25",949,0,0
2023,"17-25",963,0,0
2023,"17-25",967,0,0
2023,"17-25",969,0,0
2023,"17-25",1012,0,0
2023,"17-25",1030,0,0
2023,"17-25",1046,0,0
2023,"17-25",1050,0,0
2023,"17-25",1052,0,0
2023,"17-25",1055,0,0
2023,"17-25",1061,0,0
2023,"17-25",1065,0,0
2023,"17-25",1069,0,0
2023,"17-25",1071,0,0
2023,"17-25",1075,0,0
2023,"17-25",1091,0,0
2023,"17-25",1103,0,0
2023,"17-25",1178,0,0
2023,"17-25",1186,0,0
2023,"17-25",1213,0,5
2023,"17-25",1242,0,8
2023,"17-25",1325,0,0
2023,"17-25",1341,0,4
2023,"17-25",1363,0,14
2023,"17-25",1369,0,12
2023,"17-25",1387,0,32
2023,"17-25",1468,0,11
2023,"17-25",1505,0,8
2023,"17-25",1508,0,16
2023,"17-25",1529,0,9
2023,"17-25",1535,0,16
2023,"17-25",1556,0,23
2023,"17-25",1569,0,31
2023,"17-25",1586,0,12
2023,"17-25",1606,0,39
2023,"17-25",1624,0,37
2023,"17-25",1655,0,34
2023,"17-25",1688,0,32
2023,"17-25",1749,0,32
2023,"17-25",1776,0,31
2023,"17-25",1858,0,30
2023,"17-25",1926,0,0
2023,"17-25",1945,0,0
2023,"17-25",1946,0,0
2023,"17-25",1979,0,45
2023,"17-25",2024,0,0
2023,"17-25",2051,0,0
2023,"17-25",2060,0,0
2023,"17-25",2125,0,0
2023,"17-25",2127,0,0
2023,"17-25",2158,0,43
2023,"17-25",2161,0,0
2023,"17-25",2190,0,0
2023,"17-25",2213,0,0
2023,"17-25",2289,0,0
2023,"17-25",2302,0,0
2023,"17-25",2304,0,36
2023,"17-25",2469,0,0
2023,"17-25",2502,0,0
2023,"17-25",2567,0,0
2023,"17-25",2779,0,0
2023,"17-25",2784,0,0
2023,"17-25",2842,0,0
2023,"17-25",2907,0,0
2023,"17-25",3011,0,0
2023,"17-25",3033,0,0
2023,"17-25",3632,0,0
2023,"17-25",3685,0,0
2023,"17-25",3801,0,0
2023,"17-25",3888,0,0
2023,"17-25",4485,0,0
2023,"17-25",4505,0,0
2023,"17-25",4822,0,0
2023,"17-25",4980,0,0
2023,"17-25",4984,0,0
2023,"17-25",5145,0,0
2023,"17-25",5380,0,0
2023,"17-25",5751,0,0
2023,"17-25",6221,0,0
2023,"17-25",6665,0,0
2023,"26-39",0,0,1
2023,"26-39",0,0,2
2023,"26-39",0,0,4
2023,"26-39",0,0,5
2023,"26-39",0,0,6
2023,"26-39",0,0,7
2023,"26-39",0,0,9
2023,"26-39",0,0,11
2023,"26-39",0,0,14
2023,"26-39",0,0,15
2023,"26-39",0,0,0
2023,"26-39",1,0,0
2023,"26-39",1,0,0
2023,"26-39",1,0,1
2023,"26-39",1,0,2
2023,"26-39",1,0,3
2023,"26-39",1,0,4
2023,"26-39",1,0,7
2023,"26-39",1,0,8
2023,"26-39",1,0,11
2023,"26-39",1,0,17
2023,"26-39",1,0,21
2023,"26-39",1,0,0
2023,"26-39",2,0,0
2023,"26-39",2,0,0
2023,"26-39",2,0,5
2023,"26-39",2,0,0
2023,"26-39",3,0,0
2023,"26-39",3,0,0
2023,"26-39",3,0,1
2023,"26-39",3,0,3
2023,"26-39",3,0,10
2023,"26-39",3,0,11
2023,"26-39",4,0,0
2023,"26-39",4,0,0
2023,"26-39",4,0,9
2023,"26-39",5,0,0
2023,"26-39",5,0,0
2023,"26-39",5,0,61
2023,"26-39",5,0,86
2023,"26-39",5,6,19
2023,"26-39",5,12,33
2023,"26-39",6,0,0
2023,"26-39",6,0,0
2023,"26-39",6,0,2
2023,"26-39",6,0,6
2023,"26-39",6,0,40
2023,"26-39",6,0,0
2023,"26-39",6,7,24
2023,"26-39",7,0,0
2023,"26-39",7,0,0
2023,"26-39",7,0,47
2023,"26-39",7,0,58
2023,"26-39",7,0,0
2023,"26-39",7,1,1
2023,"26-39",7,10,28
